UTM_X	UTM_Y	GDP值
471934.690443	4503063.143132	0.013059
489665.222473	4499713.315887	0.257376
490708.151392	4499516.607729	7.248497
502180.061390	4497355.301712	0.057465
503222.934749	4497159.044598	0.259919
504265.803593	4496962.824935	8.818549
505308.667940	4496766.642703	0.632688
506351.527807	4496570.497881	0.225960
507394.383212	4496374.390448	0.709079
508437.234174	4496178.320382	5.624193
509480.080708	4495982.287664	4.756983
510522.922834	4495786.292272	4.978027
511565.760569	4495590.334186	1.709413
512608.593931	4495394.413384	1.152784
513651.422937	4495198.529845	1.846210
514694.247605	4495002.683550	0.232816
515737.067953	4494806.874477	0.118008
516779.883999	4494611.102604	0.135576
517822.695760	4494415.367912	0.150640
518865.503254	4494219.670379	0.035703
519908.306498	4494024.009985	0.127410
443534.418889	4507544.363277	0.279223
444577.564387	4507345.966587	0.552989
445620.704370	4507147.608487	0.827033
446663.838855	4506949.288956	0.038062
451879.429429	4505958.269109	0.030128
452922.531297	4505760.180556	0.180768
455008.718927	4505364.118700	0.010141
461267.154241	4504176.853630	0.135211
462310.208374	4503979.110140	0.743372
463353.257291	4503781.404886	0.653338
464396.301010	4503583.737847	0.171771
465439.339548	4503386.109003	0.171771
466482.372924	4503188.518332	0.004689
467525.401154	4502990.965815	0.004689
468568.424257	4502793.451430	0.028204
469611.442251	4502595.975156	0.241024
470654.455152	4502398.536972	0.165704
471697.462978	4502201.136859	0.488447
472740.465748	4502003.774794	0.205964
473783.463479	4501806.450757	0.060169
488384.912486	4499047.895521	0.489256
489427.836749	4498851.139405	0.816334
490470.756256	4498654.420984	0.665420
491513.671024	4498457.740236	0.011901
502985.425775	4496296.732527	1.094881
504028.285058	4496100.502239	0.343829
505071.139832	4495904.309355	0.286216
506113.990116	4495708.153852	0.158172
507156.835926	4495512.035710	1.633705
508199.677281	4495315.954909	4.129154
509242.514198	4495119.911427	4.803855
510285.346695	4494923.905243	5.436057
511328.174789	4494727.936337	2.636386
512370.998499	4494532.004688	0.931196
513413.817841	4494336.110275	28.588579
514456.632835	4494140.253076	0.553038
515499.443497	4493944.433072	0.816504
516542.249845	4493748.650241	0.244826
517585.051897	4493552.904563	0.015064
518627.849671	4493357.196016	0.035703
519670.643184	4493161.524579	0.047604
444340.577809	4506484.198152	1.352766
445383.708860	4506285.830998	2.197647
446426.834402	4506087.502385	0.366790
447469.954452	4505889.212293	0.157944
451642.380087	4505096.436711	0.090384
452685.472942	4504898.338908	0.195832
454771.642514	4504502.258470	0.003380
462073.068391	4503117.183994	0.075440
463116.108181	4502919.469212	1.670960
469374.238136	4501733.981728	0.015064
470417.241830	4501536.533821	0.035149
471460.240438	4501339.123957	17.596987
472503.233977	4501141.752113	0.043783
473546.222466	4500944.418269	0.007521
488147.540883	4498185.722813	0.066421
489190.455732	4497988.956473	1.930115
490233.365814	4497792.227799	0.417521
491276.271145	4497595.536772	0.038696
501705.067093	4495630.692440	0.060951
502747.921340	4495434.414142	0.725953
503790.771050	4495238.173240	9.425494
504833.616240	4495041.969714	0.135576
505876.456927	4494845.803541	1.122381
506919.293129	4494649.674702	2.411557
507962.124865	4494453.583175	52.736187
509004.952151	4494257.528940	143.565689
510047.775006	4494061.511975	5.270660
511090.593447	4493865.532260	8.669086
512133.407492	4493669.589774	3.200054
513176.217159	4493473.684496	8.787227
514219.022465	4493277.816405	22.431732
515261.823428	4493081.985480	0.629859
516304.620066	4492886.191701	0.114474
517347.412396	4492690.435047	0.150640
518390.200437	4492494.715496	0.452233
519432.984206	4492299.033028	0.016901
520475.763720	4492103.387623	0.013521
440974.196877	4506217.782681	0.025107
442017.335652	4506019.290819	0.090384
443060.468853	4505820.837532	0.530824
444103.596498	4505622.422800	1.671137
445146.718605	4505424.046602	1.875768
446189.835190	4505225.708918	0.446219
447232.946273	4505027.409726	0.135380
452448.419753	4504036.490426	0.090384
463921.989537	4501859.840668	0.051067
469137.038982	4500871.981633	0.015064
470180.033455	4500674.524014	0.346472
471223.022831	4500477.104409	0.022032
486867.263789	4497520.357842	0.381228
487910.174009	4497323.543628	1.050697
488953.079432	4497126.767073	2.752537
489995.980076	4496930.028158	0.409416
491038.875958	4496733.326860	0.371902
492081.767096	4496536.663160	0.014066
499381.873721	4495161.068234	0.049508
500424.727545	4494964.704562	0.083306
501467.576785	4494768.378300	0.512176
502510.421457	4494572.089426	0.208265
503553.261580	4494375.837921	0.252894
504596.097172	4494179.623763	0.225960
505638.928250	4493983.446931	0.474516
506681.754833	4493787.307404	2.646153
507724.576936	4493591.205162	11.748298
508767.394579	4493395.140184	20.009035
509810.207780	4493199.112449	14.421450
