地址	城市	lat_transformed	lon_transformed	Price
北京市亦庄开发区区金色漫香林一期	北京市	458687.1682342269	4408187.186124441	53962.0
北京市亦庄开发区区金泰公寓	北京市	457171.2912957161	4406595.934487918	44500.0
北京市亦庄开发区区长新花园	北京市	456844.43770379	4405417.793019263	44476.0
北京市亦庄开发区区鹿鸣苑	北京市	456753.162344589	4405339.04804973	55582.0
北京市亦庄开发区区老管委会宿舍	北京市	456986.2779673787	4405970.220725473	51755.0
北京市亦庄开发区区秋盛居	北京市	456415.8126076873	4405579.258564949	49732.0
北京市亦庄开发区区富源里	北京市	454662.13049481355	4405651.3213080885	48371.0
北京市亦庄开发区区百合园	北京市	438001.21682786115	4455709.0032092305	61598.0
北京市亦庄开发区区秋盛居	北京市	456415.8126076873	4405579.258564949	49732.0
北京市亦庄开发区区浉城百丽	北京市	455976.2218465202	4404495.369606063	56384.0
北京市亦庄开发区区春华屋	北京市	456226.4506576899	4405617.895015343	49792.0
北京市亦庄开发区区长新花园	北京市	456844.43770379	4405417.793019263	44476.0
北京市亦庄开发区区和成璟园	北京市	459221.0766843806	4408439.787780051	51359.0
北京市亦庄开发区区通泰国际公馆	北京市	461753.31523786654	4403541.733603245	57027.0
北京市亦庄开发区区远洋天著三期	北京市	459221.31889876426	4407928.1650468595	62673.0
北京市亦庄开发区区北京经开壹中心	北京市	461439.40304399	4403192.571483764	60935.0
